한자,음,훈,전체,훈음,구분
影 ,영,그림자,影 (그림자 영),그림자 영,고
榮 ,영,영화로울,榮 (영화로울 영),영화로울 영,중
銳,예,날카로울,銳 (날카로울 예),날카로울 예,고
豫,예,미리,豫 (미리 예),미리 예,고
譽 ,예,기릴,譽 (기릴 예),기릴 예,고
藝 ,예,기예,藝 (기예 예),기예 예,중
誤,오,그르칠,誤 (그르칠 오),그르칠 오,중
烏,오,까마귀,烏 (까마귀 오),까마귀 오,중
悟,오,깨달을,悟 (깨달을 오),깨달을 오,중
吾,오,나,吾 (나 오),나 오,중
午,오,낮,午 (낮 오),낮 오,중
汚,오,더러울,汚 (더러울 오),더러울 오,고
娛,오,즐거워할,娛 (즐거워할 오),즐거워할 오,고
嗚,오,탄식소리,嗚 (탄식소리 오),탄식소리 오,고
傲 ,오,거만할,傲 (거만할 오),거만할 오,고
五 ,오,다섯,五 (다섯 오),다섯 오,중
玉,옥,구슬,玉 (구슬 옥),구슬 옥,중
獄 ,옥,옥,獄 (옥 옥),옥 옥,고
屋 ,옥,집,屋 (집 옥),집 옥,중
溫 ,온,따뜻할,溫 (따뜻할 온),따뜻할 온,중
翁,옹,늙은이,翁 (늙은이 옹),늙은이 옹,고
擁 ,옹,안을,擁 (안을 옹),안을 옹,고
臥,와,누울,臥 (누울 와),누울 와,중
瓦 ,와,기와,瓦 (기와 와),기와 와,중
緩 ,완,느릴,緩 (느릴 완),느릴 완,고
完 ,완,완전할,完 (완전할 완),완전할 완,중
曰 ,왈,가로,曰 (가로 왈),가로 왈,중
王,왕,임금,王 (임금 왕),임금 왕,중
往 ,왕,갈,往 (갈 왕),갈 왕,중
畏 ,외,두려워할,畏 (두려워할 외),두려워할 외,고
外 ,외,밖,外 (밖 외),밖 외,중
謠,요,노래,謠 (노래 요),노래 요,고
遙,요,멀,遙 (멀 요),멀 요,고
腰,요,허리,腰 (허리 요),허리 요,고
要 ,요,구할,要 (구할 요),구할 요,중
搖 ,요,흔들,搖 (흔들 요),흔들 요,고
浴,욕,목욕할,浴 (목욕할 욕),목욕할 욕,중
辱,욕,욕보일,辱 (욕보일 욕),욕보일 욕,고
慾 ,욕,욕심,慾 (욕심 욕),욕심 욕,고
欲 ,욕,하고자 할,欲 (하고자 할 욕),하고자 할 욕,중
用,용,쓸,用 (쓸 용),쓸 용,중
容,용,얼굴,容 (얼굴 용),얼굴 용,중
勇 ,용,날랠,勇 (날랠 용),날랠 용,중
庸 ,용,쓸,庸 (쓸 용),쓸 용,고
憂,우,근심할,憂 (근심할 우),근심할 우,중
羽,우,깃,羽 (깃 우),깃 우,고
優,우,넉넉할,優 (넉넉할 우),넉넉할 우,고
尤,우,더욱,尤 (더욱 우),더욱 우,중
又,우,또,又 (또 우),또 우,중
遇,우,만날,遇 (만날 우),만날 우,중
友,우,벗,友 (벗 우),벗 우,중
雨,우,비,雨 (비 우),비 우,중
牛,우,소,牛 (소 우),소 우,중
愚,우,어리석을,愚 (어리석을 우),어리석을 우,고
郵,우,역참,郵 (역참 우),역참 우,고
右,우,오른쪽,右 (오른쪽 우),오른쪽 우,중
宇,우,집,宇 (집 우),집 우,중
于 ,우,어조사,于 (어조사 우),어조사 우,중
偶 ,우,짝,偶 (짝 우),짝 우,고
雲,운,구름,雲 (구름 운),구름 운,중
運,운,돌,運 (돌 운),돌 운,중
韻 ,운,운,韻 (운 운),운 운,고
云 ,운,이를,云 (이를 운),이를 운,중
雄 ,웅,수컷,雄 (수컷 웅),수컷 웅,중
原,원,근원,原 (근원 원),근원 원,중
源,원,근원,源 (근원 원),근원 원,고
院,원,담,院 (담 원),담 원,고
援,원,당길,援 (당길 원),당길 원,고
園,원,동산,園 (동산 원),동산 원,중
圓,원,둥글,圓 (둥글 원),둥글 원,중
遠,원,멀,遠 (멀 원),멀 원,중
願,원,바랄,願 (바랄 원),바랄 원,중
怨,원,원망할,怨 (원망할 원),원망할 원,중
員 ,원,관원,員 (관원 원),관원 원,고
元 ,원,으뜸,元 (으뜸 원),으뜸 원,중
越 ,월,넘을,越 (넘을 월),넘을 월,고
月 ,월,달,月 (달 월),달 월,중
圍,위,둘레,圍 (둘레 위),둘레 위,고
委,위,맡길,委 (맡길 위),맡길 위,고
胃,위,밥통,胃 (밥통 위),밥통 위,고
緯,위,씨,緯 (씨 위),씨 위,고
違,위,어길,違 (어길 위),어길 위,고
慰,위,위로할,慰 (위로할 위),위로할 위,고
威,위,위엄,威 (위엄 위),위엄 위,중
危,위,위태할,危 (위태할 위),위태할 위,중
謂,위,이를,謂 (이를 위),이를 위,고
衛,위,지킬,衛 (지킬 위),지킬 위,고
爲,위,할,爲 (할 위),할 위,중
偉,위,훌륭할,偉 (훌륭할 위),훌륭할 위,중
僞 ,위,거짓,僞 (거짓 위),거짓 위,고
位 ,위,자리,位 (자리 위),자리 위,중
幽,유,그윽할,幽 (그윽할 유),그윽할 유,고
油,유,기름,油 (기름 유),기름 유,중
誘,유,꾈,誘 (꾈 유),꾈 유,고
遺,유,끼칠,遺 (끼칠 유),끼칠 유,중
愈,유,나을,愈 (나을 유),나을 유,고
裕,유,넉넉할,裕 (넉넉할 유),넉넉할 유,고
遊,유,놀,遊 (놀 유),놀 유,중
酉,유,닭,酉 (닭 유),닭 유,중
由,유,말미암을,由 (말미암을 유),말미암을 유,중
維,유,맬,維 (맬 유),맬 유,고
悠,유,멀,悠 (멀 유),멀 유,고
柔,유,부드러울,柔 (부드러울 유),부드러울 유,중
惟,유,생각할,惟 (생각할 유),생각할 유,고
儒,유,선비,儒 (선비 유),선비 유,고
幼,유,어릴,幼 (어릴 유),어릴 유,중
猶,유,오히려,猶 (오히려 유),오히려 유,중
有,유,있을,有 (있을 유),있을 유,중
唯 ,유,오직,唯 (오직 유),오직 유,중
乳 ,유,젖,乳 (젖 유),젖 유,고
育,육,기를,育 (기를 육),기를 육,중
肉 ,육,고기,肉 (고기 육),고기 육,중
閏,윤,윤달,閏 (윤달 윤),윤달 윤,고
潤 ,윤,젖을,潤 (젖을 윤),젖을 윤,고
銀,은,은,銀 (은 은),은 은,중
隱 ,은,숨길,隱 (숨길 은),숨길 은,고
恩 ,은,은혜,恩 (은혜 은),은혜 은,중
乙 ,을,새,乙 (새 을),새 을,중
陰,음,그늘,陰 (그늘 음),그늘 음,중
飮,음,마실,飮 (마실 음),마실 음,중
音,음,소리,音 (소리 음),소리 음,중
吟 ,음,읊을,吟 (읊을 음),읊을 음,중
淫 ,음,음란할,淫 (음란할 음),음란할 음,고
邑,읍,고을,邑 (고을 읍),고을 읍,중
泣 ,읍,울,泣 (울 읍),울 읍,중
凝 ,응,엉길,凝 (엉길 응),엉길 응,고
應 ,응,응할,應 (응할 응),응할 응,중
意,의,뜻,意 (뜻 의),뜻 의,중
宜,의,마땅할,宜 (마땅할 의),마땅할 의,고
矣,의,어조사,矣 (어조사 의),어조사 의,중
義,의,옳을,義 (옳을 의),옳을 의,중
議,의,의논할,議 (의논할 의),의논할 의,중
疑,의,의심할,疑 (의심할 의),의심할 의,고
醫,의,의원,醫 (의원 의),의원 의,중
衣,의,옷,衣(옷 의),옷 의,중
儀 ,의,거동,儀 (거동 의),거동 의,고
依 ,의,의지할,依 (의지할 의),의지할 의,중
耳,이,귀,耳 (귀 이),귀 이,중
異,이,다를,異 (다를 이),다를 이,중
而,이,말 이을,而 (말 이을 이),말 이을 이,중
以,이,써,以 (써 이),써 이,중
移,이,옮길,移 (옮길 이),옮길 이,중
已,이,이미,已 (이미 이),이미 이,중
二 ,이,두,二 (두 이),두 이,중
夷 ,이,오랑캐,夷 (오랑캐 이),오랑캐 이,고
翼 ,익,날개,翼 (날개 익),날개 익,고
益 ,익,더할,益 (더할 익),더할 익,중
引,인,끌,引 (끌 인),끌 인,중
印,인,도장,印 (도장 인),도장 인,중
寅,인,동방,寅 (동방 인),동방 인,중
認,인,알,認 (알 인),알 인,중
仁,인,어질,仁 (어질 인),어질 인,중
因,인,인할,因 (인할 인),인할 인,중
忍,인,참을,忍 (참을 인),참을 인,중
人 ,인,사람,人 (사람 인),사람 인,중
姻 ,인,혼인,姻 (혼인 인),혼인 인,고
日,일,날,日 (날 일),날 일,중
逸 ,일,편안할,逸 (편안할 일),편안할 일,고
一 ,일,한,一 (한 일),한 일,중
賃,임,품팔이,賃 (품팔이 임),품팔이 임,고
任 ,임,맡길,任 (맡길 임),맡길 임,고
壬 ,임,아홉째 천간,壬 (아홉째 천간 임),아홉째 천간 임,중
入 ,입,들,入 (들 입),들 입,중
字,자,글자,字 (글자 자),글자 자,중
者,자,놈,者 (놈 자),놈 자,중
姿,자,맵시,姿 (맵시 자),맵시 자,고
恣,자,방자할,恣 (방자할 자),방자할 자,고
慈,자,사랑할,慈 (사랑할 자),사랑할 자,중
自,자,스스로,自 (스스로 자),스스로 자,중
子,자,아들,子 (아들 자),아들 자,중
茲,자,이,茲 (이 자),이 자,고
紫,자,자줏빛,紫 (자줏빛 자),자줏빛 자,고
資,자,재물,資 (재물 자),재물 자,고
刺 ,자,찌를,刺 (찌를 자),찌를 자,고
姊 ,자,손윗누이,姊 (손윗누이 자),손윗누이 자,중
酌,작,따를,酌 (따를 작),따를 작,고
昨,작,어제,昨 (어제 작),어제 작,중
爵 ,작,벼슬,爵 (벼슬 작),벼슬 작,고
作 ,작,지을,作 (지을 작),지을 작,중
殘 ,잔,해칠,殘 (해칠 잔),해칠 잔,고
潛,잠,잠길,潛 (잠길 잠),잠길 잠,고
暫 ,잠,잠시,暫 (잠시 잠),잠시 잠,고
雜 ,잡,섞일,雜 (섞일 잡),섞일 잡,고
障,장,가로막을,障 (가로막을 장),가로막을 장,고
藏,장,감출,藏 (감출 장),감출 장,고
章,장,글,章 (글 장),글 장,중
長,장,길,長 (길 장),길 장,중
裝,장,꾸밀,裝 (꾸밀 장),꾸밀 장,고
臟,장,내장,臟 (내장 장),내장 장,고
粧,장,단장할,粧 (단장할 장),단장할 장,고
墻,장,담,墻 (담 장),담 장,고
張,장,베풀,張 (베풀 장),베풀 장,고
掌,장,손바닥,掌 (손바닥 장),손바닥 장,고
壯,장,씩씩할,壯 (씩씩할 장),씩씩할 장,중
奬,장,장려할,奬 (장려할 장),장려할 장,고
葬,장,장사지낼,葬 (장사지낼 장),장사지낼 장,고
莊,장,장중할,莊 (장중할 장),장중할 장,고
將,장,장차,將 (장차 장),장차 장,중
腸,장,창자,腸 (창자 장),창자 장,고
帳,장,휘장,帳 (휘장 장),휘장 장,고
場 ,장,마당,場 (마당 장),마당 장,중
丈 ,장,어른,丈 (어른 장),어른 장,고
裁,재,마를,裁 (마를 재),마를 재,고
載,재,실을,載 (실을 재),실을 재,고
栽,재,심을,栽 (심을 재),심을 재,중
哉,재,어조사,哉 (어조사 재),어조사 재,중
在,재,있을,在 (있을 재),있을 재,중
材,재,재목,材 (재목 재),재목 재,중
財,재,재물,財 (재물 재),재물 재,중
災,재,재앙,災 (재앙 재),재앙 재,고
才,재,재주,才 (재주 재),재주 재,중
再 ,재,두,再 (두 재),두 재,중
宰 ,재,재상,宰 (재상 재),재상 재,고
爭 ,쟁,다툴,爭 (다툴 쟁),다툴 쟁,중
抵,저,거스를,抵 (거스를 저),거스를 저,고
著,저,나타날,著 (나타날 저),나타날 저,중
貯,저,쌓을,貯 (쌓을 저),쌓을 저,중
低 ,저,밑,低 (밑 저),밑 저,중
底 ,저,바닥,底 (바닥 저),바닥 저,고
適,적,갈,適 (갈 적),갈 적,중
的,적,과녁,的 (과녁 적),과녁 적,중
績,적,길쌈할,績 (길쌈할 적),길쌈할 적,고
賊,적,도둑,賊 (도둑 적),도둑 적,고
摘,적,딸,摘 (딸 적),딸 적,고
滴,적,물방울,滴 (물방울 적),물방울 적,고
赤,적,붉을,赤 (붉을 적),붉을 적,중
籍,적,서적,籍 (서적 적),서적 적,고
積,적,쌓을,積 (쌓을 적),쌓을 적,고
跡,적,자취,跡 (자취 적),자취 적,고
寂 ,적,고요할,寂 (고요할 적),고요할 적,고
敵 ,적,원수,敵 (원수 적),원수 적,중
轉,전,구를,轉 (구를 전),구를 전,고
錢,전,돈,錢 (돈 전),돈 전,중
田,전,밭,田 (밭 전),밭 전,중
電,전,번개,電 (번개 전),번개 전,중
典,전,법,典 (법 전),법 전,중
戰,전,싸울,戰 (싸울 전),싸울 전,중
前,전,앞,前 (앞 전),앞 전,중
全,전,온전할,全 (온전할 전),온전할 전,중
殿,전,큰 집,殿 (큰 집 전),큰 집 전,고
展,전,펼,展 (펼 전),펼 전,중
專 ,전,오로지,專 (오로지 전),오로지 전,고
傳 ,전,전할,傳 (전할 전),전할 전,중
折,절,꺾을,折 (꺾을 절),꺾을 절,고
竊,절,훔칠,竊 (훔칠 절),훔칠 절,고
絕,절,끊을,絕 (끊을 절),끊을 절,중
切 ,절,끊을,切 (끊을 절),끊을 절,고
節 ,절,마디,節 (마디 절),마디 절,중
點,점,점,點 (점 점),점 점,고
漸,점,점점,漸 (점점 점),점점 점,고
店 ,점,가게,店 (가게 점),가게 점,중
占 ,점,차지할,占 (차지할 점),차지할 점,고
蝶 ,접,나비,蝶 (나비 접),나비 접,고
接 ,접,사귈,接 (사귈 접),사귈 접,중
整,정,가지런할,整 (가지런할 정),가지런할 정,고
靜,정,고요할,靜 (고요할 정),고요할 정,중
貞,정,곧을,貞 (곧을 정),곧을 정,중
淨,정,깨끗할,淨 (깨끗할 정),깨끗할 정,중
程,정,단위,程 (단위 정),단위 정,고
庭,정,뜰,庭 (뜰 정),뜰 정,중
情,정,뜻,情 (뜻 정),뜻 정,중
停,정,머무를,停 (머무를 정),머무를 정,중
訂,정,바로잡을,訂 (바로잡을 정),바로잡을 정,고
正,정,바를,正 (바를 정),바를 정,중
井,정,우물,井 (우물 정),우물 정,중
政,정,정사,政 (정사 정),정사 정,중
頂,정,정수리,頂 (정수리 정),정수리 정,중
定,정,정할,定 (정할 정),정할 정,중
精,정,정할,精 (정할 정),정할 정,중
廷,정,조정,廷 (조정 정),조정 정,고
征,정,칠,征 (칠 정),칠 정,고
丁 ,정,고무래,丁 (고무래 정),고무래 정,중
亭 ,정,정자,亭 (정자 정),정자 정,고
齊,제,가지런할,齊 (가지런할 제),가지런할 제,고
濟,제,건널,濟 (건널 제),건널 제,고
提,제,끌,提 (끌 제),끌 제,고
除,제,덜,除 (덜 제),덜 제,중
諸,제,모두,諸 (모두 제),모두 제,중
堤,제,방죽,堤 (방죽 제),방죽 제,고
際,제,사이,際 (사이 제),사이 제,고
弟,제,아우,弟 (아우 제),아우 제,중
祭,제,제사,祭 (제사 제),제사 제,중
製,제,지을,製 (지을 제),지을 제,중
第,제,차례,第 (차례 제),차례 제,중
題,제,표제,題 (표제 제),표제 제,중
制 ,제,억제할,制 (억제할 제),억제할 제,고
帝 ,제,임금,帝 (임금 제),임금 제,중
條,조,가지,條 (가지 조),가지 조,고
調,조,고를,調 (고를 조),고를 조,중
組,조,끈,組 (끈 조),끈 조,고
助,조,도울,助 (도울 조),도울 조,중
燥,조,마를,燥 (마를 조),마를 조,고
造,조,만들,造 (만들 조),만들 조,중
照,조,비출,照 (비출 조),비출 조,고
鳥,조,새,鳥 (새 조),새 조,중
租,조,세금,租 (세금 조),세금 조,고
朝,조,아침,朝 (아침 조),아침 조,중
早,조,일찍,早 (일찍 조),일찍 조,중
操,조,잡을,操 (잡을 조),잡을 조,고
祖,조,조상,祖 (조상 조),조상 조,중
潮,조,조수,潮 (조수 조),조수 조,고
弔 ,조,조상할,弔 (조상할 조),조상할 조,고
兆 ,조,조짐,兆 (조짐 조),조짐 조,중
足,족,발,足 (발 족),발 족,중
族 ,족,겨레,族 (겨레 족),겨레 족,중
尊,존,높을,尊 (높을 존),높을 존,중
存 ,존,있을,存 (있을 존),있을 존,중
卒 ,졸,군사,卒 (군사 졸),군사 졸,중
拙 ,졸,졸할,拙 (졸할 졸),졸할 졸,고
終,종,끝날,終 (끝날 종),끝날 종,중
種,종,씨,種 (씨 종),씨 종,중
鐘,종,종,鐘 (종 종),종 종,중
從,종,좇을,從 (좇을 종),좇을 종,중
縱 ,종,늘어질,縱 (늘어질 종),늘어질 종,고
宗 ,종,마루,宗 (마루 종),마루 종,중
左,좌,왼,左 (왼 좌),왼 좌,중
座,좌,자리,座 (자리 좌),자리 좌,고
佐 ,좌,도울,佐 (도울 좌),도울 좌,고
坐 ,좌,앉을,坐 (앉을 좌),앉을 좌,중
罪 ,죄,허물,罪 (허물 죄),허물 죄,중
州,주,고을,州 (고을 주),고을 주,고
珠,주,구슬,珠 (구슬 주),구슬 주,고
株,주,그루,株 (그루 주),그루 주,고
柱,주,기둥,柱 (기둥 주),기둥 주,고
晝,주,낮,晝 (낮 주),낮 주,중
走,주,달릴,走 (달릴 주),달릴 주,중
注,주,물댈,注 (물댈 주),물댈 주,중
舟,주,배,舟 (배 주),배 주,고
鑄,주,부어 만들,鑄 (부어 만들 주),부어 만들 주,고
朱,주,붉을,朱 (붉을 주),붉을 주,중
住,주,살,住 (살 주),살 주,중
洲,주,섬,洲 (섬 주),섬 주,고
酒,주,술,酒 (술 주),술 주,중
奏,주,아뢸,奏 (아뢸 주),아뢸 주,고
宙,주,집,宙 (집 주),집 주,중
周 ,주,두루,周 (두루 주),두루 주,고
主 ,주,주인,主 (주인 주),주인 주,중
竹 ,죽,대,竹 (대 죽),대 죽,중
準,준,법도,準 (법도 준),법도 준,고
遵,준,좇을,遵 (좇을 준),좇을 준,고
俊 ,준,준걸,俊 (준걸 준),준걸 준,고
重,중,무거울,重 (무거울 중),무거울 중,중
衆,중,무리,衆 (무리 중),무리 중,중
中 ,중,가운데,中 (가운데 중),가운데 중,중
仲 ,중,버금,仲 (버금 중),버금 중,고
卽 ,즉,곧,卽 (곧 즉),곧 즉,중
贈,증,보낼,贈 (보낼 증),보낼 증,고
曾,증,일찍,曾 (일찍 증),일찍 증,중
證,증,증거,證 (증거 증),증거 증,중
症,증,증세,症 (증세 증),증세 증,고
蒸,증,찔,蒸 (찔 증),찔 증,고
增 ,증,더할,增 (더할 증),더할 증,중
憎 ,증,미워할,憎 (미워할 증),미워할 증,고
枝,지,가지,枝 (가지 지),가지 지,중
持,지,가질,持 (가질 지),가질 지,중
止,지,그칠,止 (그칠 지),그칠 지,중
誌,지,기록할,誌 (기록할 지),기록할 지,고
遲,지,늦을,遲 (늦을 지),늦을 지,고
只,지,다만,只 (다만 지),다만 지,중
地,지,땅,地 (땅 지),땅 지,중
志,지,뜻,志 (뜻 지),뜻 지,중
池,지,못,池 (못 지),못 지,고
指,지,손가락,指 (손가락 지),손가락 지,중
知,지,알,知 (알 지),알 지,중
至,지,이를,至 (이를 지),이를 지,중
紙,지,종이,紙 (종이 지),종이 지,중
支,지,지탱할,支 (지탱할 지),지탱할 지,중
之 ,지,갈,之 (갈 지),갈 지,중
智 ,지,지혜,智 (지혜 지),지혜 지,고
職,직,벼슬,職 (벼슬 직),벼슬 직,고
直 ,직,곧을,直 (곧을 직),곧을 직,중
織 ,직,짤,織 (짤 직),짤 직,고
進,진,나아갈,進 (나아갈 진),나아갈 진,중
陳,진,베풀,陳 (베풀 진),베풀 진,고
辰,진,별,辰 (별 진),별 진,중
珍,진,보배,珍 (보배 진),보배 진,고
震,진,진동할,震 (진동할 진),진동할 진,고
鎭,진,진압할,鎭 (진압할 진),진압할 진,고
陣,진,진칠,陣 (진칠 진),진칠 진,고
眞,진,참,眞 (참 진),참 진,중
盡 ,진,다할,盡 (다할 진),다할 진,중
振 ,진,떨칠,振 (떨칠 진),떨칠 진,고
疾,질,병,疾 (병 질),병 질,고
秩,질,차례,秩 (차례 질),차례 질,고
質 ,질,바탕,質 (바탕 질),바탕 질,중
姪 ,질,조카,姪 (조카 질),조카 질,고
集,집,모일,集 (모일 집),모일 집,중
執 ,집,잡을,執 (잡을 집),잡을 집,중
懲,징,혼날,懲 (혼날 징),혼날 징,고
徵 ,징,부를,徵 (부를 징),부를 징,고
次,차,버금,次 (버금 차),버금 차,중
借,차,빌,借 (빌 차),빌 차,중
此,차,이,此 (이 차),이 차,중
且 ,차,또,且 (또 차),또 차,중
差 ,차,어긋날,差 (어긋날 차),어긋날 차,고
錯,착,섞일,錯 (섞일 착),섞일 착,고
着 ,착,붙을,着 (붙을 착),붙을 착,중
捉 ,착,잡을,捉 (잡을 착),잡을 착,고
贊,찬,도울,贊 (도울 찬),도울 찬,고
讚 ,찬,기릴,讚 (기릴 찬),기릴 찬,고
察 ,찰,살필,察 (살필 찰),살필 찰,중
慙,참,부끄러울,慙 (부끄러울 참),부끄러울 참,고
參 ,참,간여할,參 (간여할 참),간여할 참,중
慘 ,참,참혹할,慘 (참혹할 참),참혹할 참,고
創,창,비롯할,創 (비롯할 창),비롯할 창,고
窓,창,창,窓 (창 창),창 창,중
昌,창,창성할,昌 (창성할 창),창성할 창,중
暢,창,펼,暢 (펼 창),펼 창,고
蒼,창,푸를,蒼 (푸를 창),푸를 창,고
倉 ,창,곳집,倉 (곳집 창),곳집 창,고
唱 ,창,노래,唱 (노래 창),노래 창,중
菜,채,나물,菜 (나물 채),나물 채,중
彩,채,무늬,彩 (무늬 채),무늬 채,고
債 ,채,빚,債 (빚 채),빚 채,고
採 ,채,캘,採 (캘 채),캘 채,중
責,책,꾸짖을,責 (꾸짖을 책),꾸짖을 책,중
策 ,책,꾀,策 (꾀 책),꾀 책,고
冊 ,책,책,冊 (책 책),책 책,중
處,처,곳,處 (곳 처),곳 처,중
妻 ,처,아내,妻 (아내 처),아내 처,중
斥,척,물리칠,斥 (물리칠 척),물리칠 척,고
拓,척,열,拓 (열 척),열 척,고
戚 ,척,겨레,戚 (겨레 척),겨레 척,고
尺 ,척,자,尺 (자 척),자 척,중
川,천,내,川 (내 천),내 천,중
踐,천,밟을,踐 (밟을 천),밟을 천,고
泉,천,샘,泉 (샘 천),샘 천,중
淺,천,얕을,淺 (얕을 천),얕을 천,중
遷,천,옮길,遷 (옮길 천),옮길 천,고
賤,천,천할,賤 (천할 천),천할 천,고
天,천,하늘,天 (하늘 천),하늘 천,중
千 ,천,일천,千 (일천 천),일천 천,중
薦 ,천,천거할,薦 (천거할 천),천거할 천,고
徹,철,뚫을,徹 (뚫을 철),뚫을 철,고
哲 ,철,밝을,哲 (밝을 철),밝을 철,고
鐵 ,철,쇠,鐵 (쇠 철),쇠 철,중
添,첨,더할,添 (더할 첨),더할 첨,고
尖 ,첨,뾰족할,尖 (뾰족할 첨),뾰족할 첨,고
妾 ,첩,첩,妾 (첩 첩),첩 첩,고
聽,청,들을,聽 (들을 청),들을 청,중
淸,청,맑을,淸 (맑을 청),맑을 청,중
請,청,청할,請 (청할 청),청할 청,중
靑,청,푸를,靑 (푸를 청),푸를 청,중
晴 ,청,갤,晴 (갤 청),갤 청,중
廳 ,청,관청,廳 (관청 청),관청 청,고
遞,체,갈마들,遞 (갈마들 체),갈마들 체,고
滯,체,막힐,滯 (막힐 체),막힐 체,고
逮,체,잡을,逮 (잡을 체),잡을 체,고
體 ,체,몸,體 (몸 체),몸 체,중
替 ,체,바꿀,替 (바꿀 체),바꿀 체,고
超,초,넘을,超 (넘을 초),넘을 초,고
肖,초,닮을,肖 (닮을 초),닮을 초,고
招,초,부를,招 (부를 초),부를 초,중
礎,초,주춧돌,礎 (주춧돌 초),주춧돌 초,고
秒,초,초,秒 (초 초),초 초,고
草,초,풀,草 (풀 초),풀 초,중
抄 ,초,베낄,抄 (베낄 초),베낄 초,고
初 ,초,처음,初 (처음 초),처음 초,중
觸,촉,닿을,觸 (닿을 촉),닿을 촉,고
燭,촉,촛불,燭 (촛불 촉),촛불 촉,고
促 ,촉,재촉할,促 (재촉할 촉),재촉할 촉,고
村,촌,마을,村 (마을 촌),마을 촌,중
寸 ,촌,마디,寸 (마디 촌),마디 촌,중
銃,총,총,銃 (총 총),총 총,고
聰,총,총명할,聰 (총명할 총),총명할 총,고
總 ,총,거느릴,總 (거느릴 총),거느릴 총,고
最 ,최,가장,最 (가장 최),가장 최,중
催 ,최,재촉할,催 (재촉할 최),재촉할 최,고
秋,추,가을,秋 (가을 추),가을 추,중
追,추,쫓을,追 (쫓을 추),쫓을 추,중
醜,추,추할,醜 (추할 추),추할 추,고
推 ,추,밀,推 (밀 추),밀 추,중
抽 ,추,뽑을,抽 (뽑을 추),뽑을 추,고
縮,축,다스릴,縮 (다스릴 축),다스릴 축,고
祝,축,빌,祝 (빌 축),빌 축,중
築,축,쌓을,築 (쌓을 축),쌓을 축,고
蓄,축,쌓을,蓄 (쌓을 축),쌓을 축,고
逐,축,쫓을,逐 (쫓을 축),쫓을 축,고
畜 ,축,가축,畜 (가축 축),가축 축,고
丑 ,축,소,丑 (소 축),소 축,중
春 ,춘,봄,春 (봄 춘),봄 춘,중
出 ,출,날,出 (날 출),날 출,중
蟲,충,벌레,蟲 (벌레 충),벌레 충,중
忠,충,충성,忠 (충성 충),충성 충,중
衝 ,충,찌를,衝 (찌를 충),찌를 충,고
充 ,충,찰,充 (찰 충),찰 충,중
趣,취,달릴,趣 (달릴 취),달릴 취,고
吹,취,불,吹 (불 취),불 취,중
就,취,이룰,就 (이룰 취),이룰 취,중
醉,취,취할,醉 (취할 취),취할 취,고
臭 ,취,냄새,臭 (냄새 취),냄새 취,고
取 ,취,취할,取 (취할 취),취할 취,중
測,측,잴,測 (잴 측),잴 측,고
側 ,측,곁,側 (곁 측),곁 측,고
層 ,층,층,層 (층 층),층 층,고
置,치,둘,置 (둘 치),둘 치,고
致,치,보낼,致 (보낼 치),보낼 치,중
恥,치,부끄러워할,恥 (부끄러워할 치),부끄러워할 치,고
齒,치,이,齒 (이 치),이 치,중
値 ,치,값,値 (값 치),값 치,고
治 ,치,다스릴,治 (다스릴 치),다스릴 치,중
則 ,칙,법칙,則 (법칙 칙),법칙 칙,중
親 ,친,친할,親 (친할 친),친할 친,중
漆 ,칠,옻,漆 (옻 칠),옻 칠,고
七 ,칠,일곱,七 (일곱 칠),일곱 칠,중
沈,침,가라앉을,沈 (가라앉을 침),가라앉을 침,고
浸,침,담글,浸 (담글 침),담글 침,고
枕,침,베개,枕 (베개 침),베개 침,고
寢,침,잠잘,寢 (잠잘 침),잠잘 침,고
針 ,침,바늘,針 (바늘 침),바늘 침,중
侵 ,침,침노할,侵 (침노할 침),침노할 침,고
稱 ,칭,일컬을,稱 (일컬을 칭),일컬을 칭,고
快 ,쾌,쾌할,快 (쾌할 쾌),쾌할 쾌,중
妥,타,온당할,妥 (온당할 타),온당할 타,고
打,타,칠,打 (칠 타),칠 타,중
他 ,타,다를,他 (다를 타),다를 타,중
墮 ,타,떨어질,墮 (떨어질 타),떨어질 타,고
托,탁,밀,托 (밀 탁),밀 탁,고
濯,탁,씻을,濯 (씻을 탁),씻을 탁,고
濁,탁,흐릴,濁 (흐릴 탁),흐릴 탁,고
卓 ,탁,높을,卓 (높을 탁),높을 탁,고
炭,탄,숯,炭 (숯 탄),숯 탄,고
歎,탄,탄식할,歎 (탄식할 탄),탄식할 탄,고
誕,탄,태어날,誕 (태어날 탄),태어날 탄,고
彈 ,탄,탄알,彈 (탄알 탄),탄알 탄,고
脫 ,탈,벗을,脫 (벗을 탈),벗을 탈,중
奪 ,탈,빼앗을,奪 (빼앗을 탈),빼앗을 탈,고
探 ,탐,찾을,探 (찾을 탐),찾을 탐,중
貪 ,탐,탐할,貪 (탐할 탐),탐할 탐,고
塔 ,탑,탑,塔 (탑 탑),탑 탑,고
湯 ,탕,끓일,湯 (끓일 탕),끓일 탕,고
態,태,모양,態 (모양 태),모양 태,고
殆,태,위태할,殆 (위태할 태),위태할 태,고
泰,태,클,泰 (클 태),클 태,중
怠 ,태,게으름,怠 (게으름 태),게으름 태,고
太 ,태,클,太 (클 태),클 태,중
澤,택,못,澤 (못 택),못 택,고
